Run Objective I0 n Rs Rsh Offset
0 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
1 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
2 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
3 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
4 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
5 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
6 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
7 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
8 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
9 7.869e-02 1.879e-06 1.329e+00 3.293e+01 4.974e+04 1.783e-03
